"Jahr";"Sonstige Energieträger";"Mineralölprodukte";"Wärme";"Grubengas";"Geothermie";"Batteriespeicher";"Abfall";"Pumpspeicher";"Erdgas";"Steinkohle";"Braunkohle";"Kernenergie";"Photovoltaik";"Wind Onshore";"Wind Offshore";"Wasser";"Biomasse"
"2011";"3207";"4166";"0";"253";"8";"0";"1662";"9229";"27249";"25724";"19847";"12068";"25429";"28579";"188";"5308";"6134"
"2012";"3207";"4136";"0";"250";"19";"0";"1704";"9234";"27378";"25177";"21016";"12068";"33033";"30556";"268";"5282";"6335"
"2013";"3103";"4136";"0";"225";"30";"0";"1721";"9234";"28389";"25964";"20956";"12068";"36710";"32969";"508";"5438";"7017"
"2014";"3155";"4236";"0";"224";"33";"0";"1738";"9245";"29019";"26210";"20818";"12068";"37900";"37621";"994";"5575";"7276"
"2015";"3160";"4196";"0";"230";"34";"0";"1767";"9442";"28359";"28654";"21419";"10800";"39224";"41297";"3283";"5475";"7529"
"2016";"3261";"4593";"0";"237";"38";"0";"1774";"9452";"29449";"27435";"21273";"10800";"40679";"45283";"4152";"5493";"7703"
"2017";"3261";"4416";"0";"214";"38";"0";"1790";"9488";"29762";"24042";"20859";"10800";"42292";"50174";"5406";"4782";"8020"
"2018";"3304";"4375";"0";"175";"42";"195";"1830";"9814";"30130";"23816";"20903";"9516";"45207";"52328";"6393";"4837";"8458"
"2019";"3322";"4375";"0";"176";"47";"213";"1830";"9814";"30072";"22670";"20903";"9516";"49096";"53193";"7528";"4849";"8793"
"2020";"2974";"4857";"491";"147";"47";"770";"1967";"9688";"32536";"23742";"20857";"8114";"53721";"54414";"7787";"4957";"9239"
"2021";"2914";"5094";"520";"145";"54";"1167";"1989";"9770";"32128";"19105";"19812";"8114";"59423";"56046";"7787";"4946";"10437"
"2022";"3200";"5102";"606";"139";"59";"2392";"2038";"9970";"35112";"18672";"18574";"4056";"67529";"58014";"8129";"2310";"9139"
"2023";"3200";"5037";"692";"141";"50";"2439";"2049";"9970";"36639";"18574";"18454";"0";"82759";"61013";"8473";"6439";"9468"
"2024";"3171";"4442";"692";"125";"50";"2525";"2061";"9870";"36664";"16003";"15190";"0";"90343";"61941";"8851";"6439";"9491"