Uhrzeit;Relative Bedarf;Normierter Bedarf (Prozent)Anzahl Autos;Strombedarf (kWh)
00:00;0,455932292;0,01620506421066,583;134826,1312
00:15;0,441027322;0,01567530120377,8913;130418,5043
00:30;0,418747051;0,014883419348,42008;123829,8885
00:45;0,399087989;0,01418466418440,06311;118016,4039
01:00;0,379628832;0,01349303317540,94292;112262,0347
01:15;0,349940332;0,01243782416169,1707;103482,6925
01:30;0,320451738;0,01138971914806,63526;94762,46563
01:45;0,290963145;0,01034161513444,09981;86042,23878
02:00;0,256887436;0,00913047311869,6144;75965,53219
02:15;0,224777634;0,00798920410385,9647;66470,17405
02:30;0,187425415;0,0066616058660,086463;55424,55337
02:45;0,155315613;0,0055203367176,436755;45929,19523
03:00;0,122377169;0,0043496155654,499209;36188,79493
03:15;0,104857353;0,0037269134844,987213;31007,91816
03:30;0,094372519;0,0033542544360,530166;27907,39306
03:45;0,08313539;0,0029548563841,31288;24584,40243
04:00;0,070054797;0,0024899363236,917437;20716,2716
04:15;0,065694599;0,0023349633035,452289;19426,89465
04:30;0,061334401;0,002179992833,987142;18137,51771
04:45;0,059154302;0,0021025042733,254568;17492,82923
05:00;0,059154302;0,0021025042733,254568;17492,82923
05:15;0,056974203;0,0020250172632,521994;16848,14076
05:30;0,054794105;0,001947532531,78942;16203,45229
05:45;0,052614006;0,0018700442431,056846;15558,76382
06:00;0,052614006;0,0018700442431,056846;15558,76382
06:15;0,050433907;0,0017925572330,324272;14914,07534
06:30;0,050433907;0,0017925572330,324272;14914,07534
06:45;0,050433907;0,0017925572330,324272;14914,07534
07:00;0,050433907;0,0017925572330,324272;14914,07534
07:15;0,050433907;0,0017925572330,324272;14914,07534
07:30;0,048253808;0,0017150712229,591699;14269,38687
07:45;0,050433907;0,0017925572330,324272;14914,07534
08:00;0,050433907;0,0017925572330,324272;14914,07534
08:15;0,054794105;0,001947532531,78942;16203,45229
08:30;0,061334401;0,002179992833,987142;18137,51771
08:45;0,065694599;0,0023349633035,452289;19426,89465
09:00;0,067874698;0,002412453136,184863;20071,58312
09:15;0,074414994;0,002644913438,382584;22005,64854
09:30;0,078775192;0,0027998833639,847732;23295,02549
09:45;0,083232384;0,0029583043845,794553;24613,08514
10:00;0,086508894;0,003074763997,18738;25581,99923
10:15;0,100270238;0,0035638754633,037255;29651,43843
10:30;0,107478561;0,0038200784966,101475;31783,04944
10:45;0,125171717;0,0044489415783,622743;37015,18556
11:00;0,13238004;0,0047051446116,686963;39146,79657
11:15;0,153349707;0,0054504627085,601059;45347,84678
11:30;0,169732259;0,0060327427842,565196;50192,41725
11:45;0,189391322;0,0067314798750,92216;56005,90182
12:00;0,209581123;0,0074490799683,802161;61976,33383
12:15;0,227021913;0,00806897110489,66275;67133,84161
12:30;0,243781395;0,00866464911264,04309;72089,87581
12:45;0,262129853;0,00931680212111,84293;77515,79474
13:00;0,294894957;0,01048136213625,7712;87204,93569
13:15;0,312588113;0,01111022514443,29247;92437,07181
13:30;0,348629728;0,01239124116108,61357;103095,1269
13:45;0,377448734;0,01341554617440,21035;111617,3462
14:00;0,407970117;0,01450035918850,46638;120642,9848
14:15;0,405790018;0,01442287218749,73381;119998,2964
14:30;0,399249722;0,01419041218447,53608;118064,2309
14:45;0,394889524;0,01403543918246,07094;116774,854
15:00;0,388349228;0,01380297917943,87321;114840,7886
15:15;0,403675103;0,01434770218652,01307;119372,8837
15:30;0,411538728;0,01462719719015,35586;121698,2775
15:45;0,425300072;0,01511631219651,20573;125767,7167
16:00;0,437095509;0,01553555420196,21991;129255,8074
16:15;0,447580343;0,01590821320680,67696;132356,3325
16:30;0,457409874;0,01625758121134,85544;135263,0748
16:45;0,467894707;0,0166302421619,31249;138363,5999
17:00;0,477724239;0,01697960822073,49097;141270,3422
17:15;0,505246926;0,01795783923345,19072;149409,2206
17:30;0,53801203;0,01912239924859,11899;159098,3616
17:45;0,566845322;0,02014721226191,37588;167624,8056
18:00;0,599818816;0,02131917927714,93288;177375,5704
18:15;0,604197541;0,02147481127917,25411;178670,4263
18:30;0,617303583;0,02194063528522,82542;182546,0827
18:45;0,627788416;0,02231329429007,28246;185646,6078
19:00;0,636962645;0,02263937129431,18238;188359,5672
19:15;0,627788416;0,02231329429007,28246;185646,6078
19:30;0,615337676;0,02187076128431,98972;181964,7342
19:45;0,604197541;0,02147481127917,25411;178670,4263
20:00;0,589125593;0,02093911327220,8471;174213,4214
20:15;0,56619002;0,02012392126161,09731;167431,0228
20:30;0,541288541;0,01923885525010,51182;160067,2757
20:45;0,516387062;0,01835378923859,92633;152703,5285
21:00;0,492140885;0,01749201522739,61941;145533,5642
21:15;0,472481822;0,01679327921831,26245;139720,0797
21:30;0,44364853;0,01576846620499,00557;131193,6356
21:45;0,422678864;0,01502314719530,09147;124992,5854
22:00;0,403675103;0,01434770218652,01307;119372,8837
22:15;0,38073953;0,0135325117592,26328;112590,485
22:30;0,360425166;0,01281048316653,62775;106583,2176
22:45;0,342076707;0,01215832915805,82792;101157,2987
23:00;0,322946262;0,01147838214921,896;95500,1344
23:15;0,35619277;0,01266005216458,06776;105331,6337
23:30;0,389439277;0,01384172317994,23949;115163,1328
23:45;0,422685785;0,01502339319530,41127;124994,6322