Uhrzeit;Relative Bedarf;Normierter Bedarf (Prozent);Anzahl Autos;Strombedarf (kWh)
00:00;0,248822902;0,007182656;9337,452254;59759,69442
00:15;0,216914009;0,006261556;8140,023243;52096,14876
00:30;0,183493603;0,005296825;6885,872416;44069,58346
00:45;0,151383801;0,004369926;5680,903973;36357,78543
01:00;0,119929301;0,003461944;4500,526724;28803,37103
01:15;0,104202051;0,003007952;3910,338099;25026,16383
01:30;0,089785405;0,002591794;3369,331859;21563,7239
01:45;0,075368759;0,002175635;2828,32562;18101,28397
02:00;0,058330905;0,001683811;2188,95461;14009,3095
02:15;0,055709696;0,001608146;2090,589839;13379,77497
02:30;0,052433186;0,001513565;1967,633875;12592,8568
02:45;0,049811978;0,001437899;1869,269104;11963,32227
03:00;0,048501373;0,001400067;1820,086719;11648,555
03:15;0,049156676;0,001418983;1844,677912;11805,93864
03:30;0,049156676;0,001418983;1844,677912;11805,93864
03:45;0,049156676;0,001418983;1844,677912;11805,93864
04:00;0,048501373;0,001400067;1820,086719;11648,555
04:15;0,047846071;0,00138115;1795,495526;11491,17137
04:30;0,047846071;0,00138115;1795,495526;11491,17137
04:45;0,048501373;0,001400067;1820,086719;11648,555
05:00;0,047190769;0,001362234;1770,904334;11333,78774
05:15;0,047190769;0,001362234;1770,904334;11333,78774
05:30;0,047190769;0,001362234;1770,904334;11333,78774
05:45;0,047190769;0,001362234;1770,904334;11333,78774
06:00;0,047846071;0,00138115;1795,495526;11491,17137
06:15;0,048501373;0,001400067;1820,086719;11648,555
06:30;0,048501373;0,001400067;1820,086719;11648,555
06:45;0,048501373;0,001400067;1820,086719;11648,555
07:00;0,048501373;0,001400067;1820,086719;11648,555
07:15;0,049156676;0,001418983;1844,677912;11805,93864
07:30;0,052433186;0,001513565;1967,633875;12592,8568
07:45;0,055709696;0,001608146;2090,589839;13379,77497
08:00;0,057020301;0,001645979;2139,772224;13694,54223
08:15;0,064883926;0,001872974;2434,866537;15583,14583
08:30;0,071436946;0,002062137;2680,778464;17156,98217
08:45;0,079300571;0,002289133;2975,872776;19045,58577
09:00;0,087819499;0,002535045;3295,558281;21091,573
09:15;0,096993728;0,002799873;3639,834979;23294,94387
09:30;0,106823259;0,003083618;4008,702869;25655,69836
09:45;0,11665279;0,003367362;4377,57076;28016,45286
10:00;0,128448228;0,003707856;4820,212229;30849,35826
10:15;0,144175478;0,004161847;5410,400853;34626,56546
10:30;0,162523936;0,004691503;6098,954249;39033,30719
10:45;0,178906488;0,005164411;6713,734067;42967,89803
11:00;0,197254947;0,005694067;7402,287462;47374,63976
11:15;0,209050384;0,006034561;7844,928931;50207,54516
11:30;0,22346703;0,006450719;8385,93517;53669,98509
11:45;0,23591777;0,006810129;8853,167832;56660,27412
12:00;0,245747301;0,007093874;9222,035722;59021,02862
12:15;0,264095759;0,00762353;9910,589118;63427,77035
12:30;0,281133613;0,008115354;10549,96013;67519,74482
12:45;0,29882677;0,008626094;11213,92233;71769,10292
13:00;0,316519926;0,009136834;11877,88453;76018,46102
13:15;0,332902478;0,009609742;12492,66435;79953,05185
13:30;0,351906239;0,010158315;13205,80894;84517,17722
13:45;0,370254697;0,010687971;13894,36234;88923,91895
14:00;0,387292551;0,011179795;14533,73335;93015,89341
14:15;0,416781145;0,012031028;15640,33702;100098,1569
14:30;0,448235645;0,012939011;16820,71427;107652,5713
14:45;0,481000749;0,013884826;18050,2739;115521,753
15:00;0,513765853;0,014830641;19279,83354;123390,9346
15:15;0,56619002;0,016343945;21247,12895;135981,6253
15:30;0,627133114;0,018103161;23534,10987;150618,3032
15:45;0,685454999;0,019786712;25722,72603;164625,4466
16:00;0,744432187;0,02148918;27935,93337;178789,9736
16:15;0,792269239;0,02287007;29731,09044;190278,9788
16:30;0,842072198;0,024307709;31600,02108;202240,1349
16:45;0,89318576;0,02578318;33518,13411;214516,0583
17:00;0,941022812;0,02716407;35313,29118;226005,0635
17:15;0,958715969;0,02767481;35977,25338;230254,4216
17:30;0,970511406;0,028015304;36419,89485;233087,327
17:45;0,98427275;0,028412546;36936,3099;236392,3833
18:00;0,994757583;0,028715207;37329,76898;238910,5215
18:15;0,983617448;0,02839363;36911,7187;236234,9997
18:30;0,970511406;0,028015304;36419,89485;233087,327
18:45;0,95609476;0,027599145;35878,88861;229624,8871
19:00;0,939056906;0,027107321;35239,5176;225532,9126
19:15;0,897772875;0,025915594;33690,27246;215617,7437
19:30;0,854522937;0,024667118;32067,25374;205230,4239
19:45;0,807341187;0,023305145;30296,68787;193898,8024
20:00;0,76409125;0,022056669;28673,66915;183511,4826
20:15;0,733292052;0,021167602;27517,88309;176114,4518
20:30;0,705769364;0,020373118;26485,053;169504,3392
20:45;0,678901979;0,019597549;25476,8141;163051,6102
21:00;0,651379291;0,018803065;24443,984;156441,4976
21:15;0,627133114;0,018103161;23534,10987;150618,3032
21:30;0,603542239;0,017422175;22648,82694;144952,4924
21:45;0,575364249;0,016608774;21591,40565;138184,9962
22:00;0,551118072;0,01590887;20681,53152;132361,8017
22:15;0,532114312;0,015360298;19968,38693;127797,6764
22:30;0,511144645;0,014754976;19181,46877;122761,4001
22:45;0,49083028;0,014168571;18419,14179;117882,5075
23:00;0,473373083;0,013664642;17764,03429;113689,8194
23:15;0,417235537;0,012044145;15657,38876;100207,2881
23:30;0,361097992;0,010423649;13550,74326;86724,75688
23:45;0,304960447;0,008803152;11444,09776;73242,22569